"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2018",11.73,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2019",11.36,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2020",10.56,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2021",11.2,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2017",14.47,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2018",14.7,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2019",14.64,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2020",11.81,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2021",12.27,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2017",3.62,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2018",3.34,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2019",3.37,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2020",2.76,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2021",3.11,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2017",9.07,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2018",8.77,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2019",8.41,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2020",7.47,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2021",7.75,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2017",6.67,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2018",6.46,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2019",6.66,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2020",6.04,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2021",6.73,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2017",7.2,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2018",7.06,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2019",6.84,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2020",6.53,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2021",7.32,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2017",7.96,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2018",7.92,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2019",7.48,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2020",7.08,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2021",7.72,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2017",4.93,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2018",4.59,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2019",4.12,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2020",3.56,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2021",3.34,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2017",5.92,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2018",5.81,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2019",5.43,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2020",5.05,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2021",5.7,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2017",5.49,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2018",5.32,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2019",4.94,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2020",4.11,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2021",4.45,
"SWE","AIREMISSION","CO2","TONNE_CAP","A","2017",3.65,
"SWE","AIREMISSION","CO2","TONNE_CAP","A","2018",3.37,
"SWE","AIREMISSION","CO2","TONNE_CAP","A","2019",3.27,
"SWE","AIREMISSION","CO2","TONNE_CAP","A","2020",3.12,
"SWE","AIREMISSION","CO2","TONNE_CAP","A","2021",3.23,
"CHE","AIREMISSION","CO2","TONNE_CAP","A","2017",4.37,
"CHE","AIREMISSION","CO2","TONNE_CAP","A","2018",4.2,
"CHE","AIREMISSION","CO2","TONNE_CAP","A","2019",4.16,
"CHE","AIREMISSION","CO2","TONNE_CAP","A","2020",3.85,
"CHE","AIREMISSION","CO2","TONNE_CAP","A","2021",3.78,
"TUR","AIREMISSION","CO2","TONNE_CAP","A","2017",4.71,
"TUR","AIREMISSION","CO2","TONNE_CAP","A","2018",4.6,
"TUR","AIREMISSION","CO2","TONNE_CAP","A","2019",4.44,
"TUR","AIREMISSION","CO2","TONNE_CAP","A","2020",4.4,
"TUR","AIREMISSION","CO2","TONNE_CAP","A","2021",4.65,
"GBR","AIREMISSION","CO2","TONNE_CAP","A","2017",5.45,
"GBR","AIREMISSION","CO2","TONNE_CAP","A","2018",5.33,
"GBR","AIREMISSION","CO2","TONNE_CAP","A","2019",5.08,
"GBR","AIREMISSION","CO2","TONNE_CAP","A","2020",4.51,
"GBR","AIREMISSION","CO2","TONNE_CAP","A","2021",4.94,
"USA","AIREMISSION","CO2","TONNE_CAP","A","2017",14.64,
"USA","AIREMISSION","CO2","TONNE_CAP","A","2018",15.02,
"USA","AIREMISSION","CO2","TONNE_CAP","A","2019",14.44,
"USA","AIREMISSION","CO2","TONNE_CAP","A","2020",12.9,
"USA","AIREMISSION","CO2","TONNE_CAP","A","2021",13.56,
"OEU","AIREMISSION","CO2","TONNE_CAP","A","2017",6.16,
"OEU","AIREMISSION","CO2","TONNE_CAP","A","2018",6,
"OEU","AIREMISSION","CO2","TONNE_CAP","A","2019",5.7,
"OEU","AIREMISSION","CO2","TONNE_CAP","A","2020",5.18,
"OEU","AIREMISSION","CO2","TONNE_CAP","A","2021",5.53,
"ALB","AIREMISSION","CO2","TONNE_CAP","A","2017",1.53,
"ALB","AIREMISSION","CO2","TONNE_CAP","A","2018",1.53,
"ALB","AIREMISSION","CO2","TONNE_CAP","A","2019",1.43,
"ALB","AIREMISSION","CO2","TONNE_CAP","A","2020",1.2,
"ALB","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"DZA","AIREMISSION","CO2","TONNE_CAP","A","2017",3.15,
"DZA","AIREMISSION","CO2","TONNE_CAP","A","2018",3.25,
"DZA","AIREMISSION","CO2","TONNE_CAP","A","2019",3.31,
"DZA","AIREMISSION","CO2","TONNE_CAP","A","2020",3.07,
"DZA","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"ARG","AIREMISSION","CO2","TONNE_CAP","A","2017",3.95,
"ARG","AIREMISSION","CO2","TONNE_CAP","A","2018",3.85,
"ARG","AIREMISSION","CO2","TONNE_CAP","A","2019",3.61,
"ARG","AIREMISSION","CO2","TONNE_CAP","A","2020",3.28,
"ARG","AIREMISSION","CO2","TONNE_CAP","A","2021",3.62,
"ARM","AIREMISSION","CO2","TONNE_CAP","A","2017",1.75,
"ARM","AIREMISSION","CO2","TONNE_CAP","A","2018",1.83,
"ARM","AIREMISSION","CO2","TONNE_CAP","A","2019",1.98,
"ARM","AIREMISSION","CO2","TONNE_CAP","A","2020",2.14,
"ARM","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"AZE","AIREMISSION","CO2","TONNE_CAP","A","2017",3.12,
"AZE","AIREMISSION","CO2","TONNE_CAP","A","2018",3.15,
"AZE","AIREMISSION","CO2","TONNE_CAP","A","2019",3.4,
"AZE","AIREMISSION","CO2","TONNE_CAP","A","2020",3.26,
"AZE","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"BGD","AIREMISSION","CO2","TONNE_CAP","A","2017",0.54,
"BGD","AIREMISSION","CO2","TONNE_CAP","A","2018",0.59,
"BGD","AIREMISSION","CO2","TONNE_CAP","A","2019",0.56,
"BGD","AIREMISSION","CO2","TONNE_CAP","A","2020",0.51,
"BGD","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"BLR","AIREMISSION","CO2","TONNE_CAP","A","2017",5.71,
"BLR","AIREMISSION","CO2","TONNE_CAP","A","2018",6.05,
"BLR","AIREMISSION","CO2","TONNE_CAP","A","2019",5.88,
"BLR","AIREMISSION","CO2","TONNE_CAP","A","2020",5.6,
"BLR","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"BIH","AIREMISSION","CO2","TONNE_CAP","A","2017",6.67,
"BIH","AIREMISSION","CO2","TONNE_CAP","A","2018",6.69,
"BIH","AIREMISSION","CO2","TONNE_CAP","A","2019",6.29,
"BIH","AIREMISSION","CO2","TONNE_CAP","A","2020",6.25,
"BIH","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"BRA","AIREMISSION","CO2","TONNE_CAP","A","2017",2.09,
"BRA","AIREMISSION","CO2","TONNE_CAP","A","2018",1.96,
"BRA","AIREMISSION","CO2","TONNE_CAP","A","2019",1.95,
"BRA","AIREMISSION","CO2","TONNE_CAP","A","2020",1.83,
"BRA","AIREMISSION","CO2","TONNE_CAP","A","2021",2.05,
"BRN","AIREMISSION","CO2","TONNE_CAP","A","2017",15.83,
"BRN","AIREMISSION","CO2","TONNE_CAP","A","2018",16.65,
"BRN","AIREMISSION","CO2","TONNE_CAP","A","2019",15.38,
"BRN","AIREMISSION","CO2","TONNE_CAP","A","2020",21.05,
"BRN","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"BGR","AIREMISSION","CO2","TONNE_CAP","A","2017",6.03,
"BGR","AIREMISSION","CO2","TONNE_CAP","A","2018",5.65,
"BGR","AIREMISSION","CO2","TONNE_CAP","A","2019",5.45,
"BGR","AIREMISSION","CO2","TONNE_CAP","A","2020",4.77,
"BGR","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"KHM","AIREMISSION","CO2","TONNE_CAP","A","2017",0.65,
"KHM","AIREMISSION","CO2","TONNE_CAP","A","2018",0.63,
"KHM","AIREMISSION","CO2","TONNE_CAP","A","2019",0.77,
"KHM","AIREMISSION","CO2","TONNE_CAP","A","2020",0.8,
"KHM","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"CHL","AIREMISSION","CO2","TONNE_CAP","A","2017",4.68,
"CHL","AIREMISSION","CO2","TONNE_CAP","A","2018",4.57,
"CHL","AIREMISSION","CO2","TONNE_CAP","A","2019",4.76,
"CHL","AIREMISSION","CO2","TONNE_CAP","A","2020",4.31,
"CHL","AIREMISSION","CO2","TONNE_CAP","A","2021",4.42,
"CHN","AIREMISSION","CO2","TONNE_CAP","A","2017",6.68,
"CHN","AIREMISSION","CO2","TONNE_CAP","A","2018",6.97,
"CHN","AIREMISSION","CO2","TONNE_CAP","A","2019",7.06,
"CHN","AIREMISSION","CO2","TONNE_CAP","A","2020",7.15,
"CHN","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"COL","AIREMISSION","CO2","TONNE_CAP","A","2017",1.45,
"COL","AIREMISSION","CO2","TONNE_CAP","A","2018",1.51,
"COL","AIREMISSION","CO2","TONNE_CAP","A","2019",1.49,
"COL","AIREMISSION","CO2","TONNE_CAP","A","2020",1.48,
"COL","AIREMISSION","CO2","TONNE_CAP","A","2021",1.25,
"HRV","AIREMISSION","CO2","TONNE_CAP","A","2017",3.91,
"HRV","AIREMISSION","CO2","TONNE_CAP","A","2018",3.72,
"HRV","AIREMISSION","CO2","TONNE_CAP","A","2019",3.77,
"HRV","AIREMISSION","CO2","TONNE_CAP","A","2020",3.56,
"HRV","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"CYP","AIREMISSION","CO2","TONNE_CAP","A","2017",7.53,
"CYP","AIREMISSION","CO2","TONNE_CAP","A","2018",7.35,
"CYP","AIREMISSION","CO2","TONNE_CAP","A","2019",7.31,
"CYP","AIREMISSION","CO2","TONNE_CAP","A","2020",6.72,
"CYP","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"EGY","AIREMISSION","CO2","TONNE_CAP","A","2017",2.27,
"EGY","AIREMISSION","CO2","TONNE_CAP","A","2018",2.16,
"EGY","AIREMISSION","CO2","TONNE_CAP","A","2019",1.93,
"EGY","AIREMISSION","CO2","TONNE_CAP","A","2020",1.84,
"EGY","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"EST","AIREMISSION","CO2","TONNE_CAP","A","2017",12.51,
"EST","AIREMISSION","CO2","TONNE_CAP","A","2018",11.69,
"EST","AIREMISSION","CO2","TONNE_CAP","A","2019",7.37,
"EST","AIREMISSION","CO2","TONNE_CAP","A","2020",5.33,
"EST","AIREMISSION","CO2","TONNE_CAP","A","2021",6.25,
"ETH","AIREMISSION","CO2","TONNE_CAP","A","2017",0.12,
"ETH","AIREMISSION","CO2","TONNE_CAP","A","2018",0.12,
"ETH","AIREMISSION","CO2","TONNE_CAP","A","2019",0.13,
"ETH","AIREMISSION","CO2","TONNE_CAP","A","2020",0.13,
"ETH","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"GEO","AIREMISSION","CO2","TONNE_CAP","A","2017",2.45,
"GEO","AIREMISSION","CO2","TONNE_CAP","A","2018",2.41,
"GEO","AIREMISSION","CO2","TONNE_CAP","A","2019",2.56,
"GEO","AIREMISSION","CO2","TONNE_CAP","A","2020",2.51,
"GEO","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"GHA","AIREMISSION","CO2","TONNE_CAP","A","2017",0.5,
"GHA","AIREMISSION","CO2","TONNE_CAP","A","2018",0.55,
"GHA","AIREMISSION","CO2","TONNE_CAP","A","2019",0.58,
"GHA","AIREMISSION","CO2","TONNE_CAP","A","2020",0.61,
"GHA","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"HTI","AIREMISSION","CO2","TONNE_CAP","A","2017",0.3,
"HTI","AIREMISSION","CO2","TONNE_CAP","A","2018",0.29,
"HTI","AIREMISSION","CO2","TONNE_CAP","A","2019",0.29,
"HTI","AIREMISSION","CO2","TONNE_CAP","A","2020",0.28,
"HTI","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"HKG","AIREMISSION","CO2","TONNE_CAP","A","2017",5.85,
"HKG","AIREMISSION","CO2","TONNE_CAP","A","2018",5.79,
"HKG","AIREMISSION","CO2","TONNE_CAP","A","2019",5.68,
"HKG","AIREMISSION","CO2","TONNE_CAP","A","2020",4.59,
"HKG","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"IND","AIREMISSION","CO2","TONNE_CAP","A","2017",1.63,
"IND","AIREMISSION","CO2","TONNE_CAP","A","2018",1.71,
"IND","AIREMISSION","CO2","TONNE_CAP","A","2019",1.67,
"IND","AIREMISSION","CO2","TONNE_CAP","A","2020",1.5,
"IND","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"IDN","AIREMISSION","CO2","TONNE_CAP","A","2017",1.82,
"IDN","AIREMISSION","CO2","TONNE_CAP","A","2018",1.99,
"IDN","AIREMISSION","CO2","TONNE_CAP","A","2019",2.11,
"IDN","AIREMISSION","CO2","TONNE_CAP","A","2020",1.95,
"IDN","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"IRN","AIREMISSION","CO2","TONNE_CAP","A","2017",7.12,
"IRN","AIREMISSION","CO2","TONNE_CAP","A","2018",7.17,
"IRN","AIREMISSION","CO2","TONNE_CAP","A","2019",6.98,
"IRN","AIREMISSION","CO2","TONNE_CAP","A","2020",6.76,
"IRN","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"ISR","AIREMISSION","CO2","TONNE_CAP","A","2017",7.34,
"ISR","AIREMISSION","CO2","TONNE_CAP","A","2018",6.72,
"ISR","AIREMISSION","CO2","TONNE_CAP","A","2019",6.77,
"ISR","AIREMISSION","CO2","TONNE_CAP","A","2020",6.23,
"ISR","AIREMISSION","CO2","TONNE_CAP","A","2021",6.19,
"KAZ","AIREMISSION","CO2","TONNE_CAP","A","2017",11.42,
"KAZ","AIREMISSION","CO2","TONNE_CAP","A","2018",11.42,
"KAZ","AIREMISSION","CO2","TONNE_CAP","A","2019",10.67,
"KAZ","AIREMISSION","CO2","TONNE_CAP","A","2020",10.9,
"KAZ","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"LVA","AIREMISSION","CO2","TONNE_CAP","A","2017",3.44,
"LVA","AIREMISSION","CO2","TONNE_CAP","A","2018",3.76,
"LVA","AIREMISSION","CO2","TONNE_CAP","A","2019",3.66,
"LVA","AIREMISSION","CO2","TONNE_CAP","A","2020",3.36,
"LVA","AIREMISSION","CO2","TONNE_CAP","A","2021",3.52,
"LTU","AIREMISSION","CO2","TONNE_CAP","A","2017",3.81,
"LTU","AIREMISSION","CO2","TONNE_CAP","A","2018",3.98,
"LTU","AIREMISSION","CO2","TONNE_CAP","A","2019",3.99,
"LTU","AIREMISSION","CO2","TONNE_CAP","A","2020",3.99,
"LTU","AIREMISSION","CO2","TONNE_CAP","A","2021",4.02,
"MKD","AIREMISSION","CO2","TONNE_CAP","A","2017",3.58,
"MKD","AIREMISSION","CO2","TONNE_CAP","A","2018",3.35,
"MKD","AIREMISSION","CO2","TONNE_CAP","A","2019",3.83,
"MKD","AIREMISSION","CO2","TONNE_CAP","A","2020",3.28,
"MKD","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"MYS","AIREMISSION","CO2","TONNE_CAP","A","2017",6.78,
"MYS","AIREMISSION","CO2","TONNE_CAP","A","2018",7.23,
"MYS","AIREMISSION","CO2","TONNE_CAP","A","2019",7.23,
"MYS","AIREMISSION","CO2","TONNE_CAP","A","2020",7.08,
"MYS","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"MLT","AIREMISSION","CO2","TONNE_CAP","A","2017",3.25,
"MLT","AIREMISSION","CO2","TONNE_CAP","A","2018",3.2,
"MLT","AIREMISSION","CO2","TONNE_CAP","A","2019",3.29,
"MLT","AIREMISSION","CO2","TONNE_CAP","A","2020",3.07,
"MLT","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"MDA","AIREMISSION","CO2","TONNE_CAP","A","2017",2.73,
"MDA","AIREMISSION","CO2","TONNE_CAP","A","2018",2.94,
"MDA","AIREMISSION","CO2","TONNE_CAP","A","2019",3.11,
"MDA","AIREMISSION","CO2","TONNE_CAP","A","2020",3.07,
"MDA","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"MOZ","AIREMISSION","CO2","TONNE_CAP","A","2017",0.22,
"MOZ","AIREMISSION","CO2","TONNE_CAP","A","2018",0.2,
"MOZ","AIREMISSION","CO2","TONNE_CAP","A","2019",0.21,
"MOZ","AIREMISSION","CO2","TONNE_CAP","A","2020",0.19,
"MOZ","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"NGA","AIREMISSION","CO2","TONNE_CAP","A","2017",0.45,
"NGA","AIREMISSION","CO2","TONNE_CAP","A","2018",0.46,
"NGA","AIREMISSION","CO2","TONNE_CAP","A","2019",0.48,
"NGA","AIREMISSION","CO2","TONNE_CAP","A","2020",0.43,
"NGA","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"PAK","AIREMISSION","CO2","TONNE_CAP","A","2017",0.88,
"PAK","AIREMISSION","CO2","TONNE_CAP","A","2018",0.81,
"PAK","AIREMISSION","CO2","TONNE_CAP","A","2019",0.78,
"PAK","AIREMISSION","CO2","TONNE_CAP","A","2020",0.75,
"PAK","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"PRY","AIREMISSION","CO2","TONNE_CAP","A","2017",1.12,
"PRY","AIREMISSION","CO2","TONNE_CAP","A","2018",1.16,
"PRY","AIREMISSION","CO2","TONNE_CAP","A","2019",1.11,
"PRY","AIREMISSION","CO2","TONNE_CAP","A","2020",1.02,
"PRY","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"PER","AIREMISSION","CO2","TONNE_CAP","A","2017",1.58,
"PER","AIREMISSION","CO2","TONNE_CAP","A","2018",1.57,
"PER","AIREMISSION","CO2","TONNE_CAP","A","2019",1.61,
"PER","AIREMISSION","CO2","TONNE_CAP","A","2020",1.29,
"PER","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"PHL","AIREMISSION","CO2","TONNE_CAP","A","2017",1.17,
"PHL","AIREMISSION","CO2","TONNE_CAP","A","2018",1.2,
"PHL","AIREMISSION","CO2","TONNE_CAP","A","2019",1.25,
"PHL","AIREMISSION","CO2","TONNE_CAP","A","2020",1.14,
"PHL","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"ROU","AIREMISSION","CO2","TONNE_CAP","A","2017",3.62,
"ROU","AIREMISSION","CO2","TONNE_CAP","A","2018",3.68,
"ROU","AIREMISSION","CO2","TONNE_CAP","A","2019",3.62,
"ROU","AIREMISSION","CO2","TONNE_CAP","A","2020",3.36,
"ROU","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"RUS","AIREMISSION","CO2","TONNE_CAP","A","2017",10.64,
"RUS","AIREMISSION","CO2","TONNE_CAP","A","2018",11.09,
"RUS","AIREMISSION","CO2","TONNE_CAP","A","2019",11.36,
"RUS","AIREMISSION","CO2","TONNE_CAP","A","2020",10.77,
"RUS","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"SAU","AIREMISSION","CO2","TONNE_CAP","A","2017",15.75,
"SAU","AIREMISSION","CO2","TONNE_CAP","A","2018",14.78,
"SAU","AIREMISSION","CO2","TONNE_CAP","A","2019",14.54,
"SAU","AIREMISSION","CO2","TONNE_CAP","A","2020",13.89,
"SAU","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"SGP","AIREMISSION","CO2","TONNE_CAP","A","2017",8.43,
"SGP","AIREMISSION","CO2","TONNE_CAP","A","2018",8.02,
"SGP","AIREMISSION","CO2","TONNE_CAP","A","2019",7.92,
"SGP","AIREMISSION","CO2","TONNE_CAP","A","2020",7.69,
"SGP","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"SVN","AIREMISSION","CO2","TONNE_CAP","A","2017",6.64,
"SVN","AIREMISSION","CO2","TONNE_CAP","A","2018",6.58,
"SVN","AIREMISSION","CO2","TONNE_CAP","A","2019",6.31,
"SVN","AIREMISSION","CO2","TONNE_CAP","A","2020",5.71,
"SVN","AIREMISSION","CO2","TONNE_CAP","A","2021",5.67,
"ZAF","AIREMISSION","CO2","TONNE_CAP","A","2017",7.54,
